Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Xeon E7-8870 v3,Haswell-EX,18.0,2.1,Socket 2011-3,22.0,45MB,140.0,
Xeon E7-8880 v3,Haswell-EX,18.0,2.3,Socket 2011-3,22.0,45MB,150.0,
Xeon E7-8880L v3,Haswell-EX,18.0,2.0,Socket 2011-3,22.0,45MB,115.0,
Xeon E7-8890 v3,Haswell-EX,18.0,2.5,Socket 2011-3,22.0,45MB,165.0,
Xeon Gold 5318H,Cooper Lake-SP,18.0,2.5,Socket 4189,14.0,24.75MB,150.0,2021-04-06
Xeon Gold 6154,Skylake-SP,18.0,3.0,Socket 3647,14.0,24.75MB,200.0,2017-07-11
Xeon Gold 6354,Ice Lake-SP,18.0,3.0,Socket 4189,10.0,39MB,205.0,2021-04-06
Xeon Platinum 8353H,Cooper Lake-SP,18.0,2.5,Socket 4189,14.0,24.75MB,150.0,2021-04-06
Xeon Platinum 8354H,Cooper Lake-SP,18.0,3.1,Socket 4189,14.0,24.75MB,205.0,2021-04-06
Xeon W-2191B,Skylake-W,18.0,2.3,Socket 2066,14.0,24.75MB,140.0,
Xeon W-2195,Skylake-W,18.0,2.3,Socket 2066,14.0,24.75MB,140.0,2017-08-29
Xeon Gold 5320H,Cooper Lake-SP,20.0,2.4,Socket 4189,14.0,27.5MB,150.0,2021-04-06
Xeon Gold 5320T,Ice Lake-SP,20.0,2.3,Socket 4189,10.0,30MB,150.0,2021-04-06
Xeon Silver 4316,Ice Lake-SP,20.0,2.3,Socket 4189,10.0,30MB,150.0,2021-04-06
Core i9-10990XE,Cascade Lake-X,22.0,4.0,Socket 2066,14.0,30.25MB,380.0,
EPYC 7352,Rome,24.0,2.4,Socket SP3,7.0,128MB,155.0,2019-08-07
EPYC 7401,Naples,24.0,2.0,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7401P,Naples,24.0,2.0,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7402,Rome,24.0,2.8,Socket SP3,7.0,128MB,180.0,2019-08-07
EPYC 7402P,Rome,24.0,2.8,Socket SP3,7.0,128MB,180.0,2019-08-07
EPYC 7413,Milan,24.0,2.65,Socket SP3,7.0,128MB,180.0,2021-03-15
EPYC 7443,Milan,24.0,2.85,Socket SP3,7.0,128MB,200.0,2021-03-15
EPYC 7443P,Milan,24.0,2.85,Socket SP3,7.0,128MB,200.0,2021-03-15
EPYC 7451,Naples,24.0,2.3,Socket SP3,14.0,64MB,180.0,2017-06-29
EPYC 7473X,Milan-X,24.0,2.8,Socket SP3,7.0,768MB,240.0,
EPYC 74F3,Milan,24.0,2.8,Socket SP3,7.0,256MB,240.0,2021-03-15
EPYC 7F72,Rome,24.0,3.2,Socket SP3,7.0,192MB,240.0,2020-04-14
EPYC 9224,Genoa,24.0,2.5,Socket SP5,5.0,64MB,200.0,2022-11-10
EPYC 9254,Genoa,24.0,2.9,Socket SP5,5.0,128MB,200.0,2022-11-10
EPYC 9274F,Genoa,24.0,4.05,Socket SP5,5.0,256MB,320.0,2022-11-10
Ryzen Threadripper 2970WX,Colfax,24.0,3.0,Socket SP3r2,12.0,64MB,250.0,
Ryzen Threadripper 3960X,Castle Peak,24.0,3.8,Socket TRX4,7.0,128MB,280.0,2019-11-25
Ryzen Threadripper PRO 5965WX,Chagall PRO,24.0,3.8,Socket WRX8,7.0,128MB,280.0,2022-03-08
Core i7-13850HX,Raptor Lake-HX,24.0,2.1,BGA 1964,10.0,30MB,55.0,2023-01-04
Core i9-13900,Raptor Lake-S,24.0,2.0,Socket 1700,10.0,36MB,65.0,2023-01-04
Core i9-13900F,Raptor Lake-S,24.0,2.0,Socket 1700,10.0,36MB,65.0,2023-01-04
Core i9-13900HX,Raptor Lake-HX,24.0,2.2,BGA 1964,10.0,36MB,55.0,2023-01-04
Core i9-13900K,Raptor Lake-S,24.0,3.0,Socket 1700,10.0,36MB,125.0,2022-09-27
Core i9-13900KF,Raptor Lake-S,24.0,3.0,Socket 1700,10.0,36MB,125.0,2022-09-27
Core i9-13900KS,Raptor Lake-S,24.0,3.2,Socket 1700,10.0,36MB,150.0,
Core i9-13900T,Raptor Lake-S,24.0,1.1,Socket 1700,10.0,36MB,35.0,2023-01-04
Core i9-13950HX,Raptor Lake-HX,24.0,2.2,BGA 1964,10.0,36MB,55.0,2023-01-04
Core i9-13980HX,Raptor Lake-HX,24.0,2.2,BGA 1964,10.0,36MB,55.0,2023-01-04
Xeon Gold 5318N,Ice Lake-SP,24.0,2.1,Socket 4189,10.0,36MB,150.0,2021-04-06
Xeon Gold 5318S,Ice Lake-SP,24.0,2.1,Socket 4189,10.0,36MB,165.0,2021-04-06
Xeon Gold 5318Y,Ice Lake-SP,24.0,2.1,Socket 4189,10.0,36MB,165.0,2021-04-06
Xeon Gold 6312U,Ice Lake-SP,24.0,2.4,Socket 4189,10.0,36MB,185.0,2021-04-06
Xeon Gold 6330H,Cooper Lake-SP,24.0,2.0,Socket 4189,14.0,33MB,150.0,2021-04-06
Xeon Gold 6336Y,Ice Lake-SP,24.0,2.4,Socket 4189,10.0,36MB,185.0,2021-04-06
Xeon Gold 6338T,Ice Lake-SP,24.0,2.1,Socket 4189,10.0,36MB,165.0,2021-04-06
Xeon Gold 6342,Ice Lake-SP,24.0,2.8,Socket 4189,10.0,36MB,230.0,2021-04-06
Xeon Gold 6348H,Cooper Lake-SP,24.0,2.3,Socket 4189,14.0,33MB,165.0,2021-04-06
Xeon Platinum 8260,Cascade Lake-SP,24.0,2.4,Socket 3647,14.0,35.75MB,165.0,2018-12-11
Xeon Platinum 8260M,Cascade Lake-SP,24.0,2.4,Socket 3647,14.0,35.75MB,165.0,2018-12-11
Xeon Platinum 8268,Cascade Lake-SP,24.0,2.9,Socket 3647,14.0,35.75MB,205.0,2018-12-11
Xeon Platinum 8360H,Cooper Lake-SP,24.0,3.0,Socket 4189,14.0,33MB,225.0,2021-04-06
Xeon Platinum 8360HL,Cooper Lake-SP,24.0,3.0,Socket 4189,14.0,33MB,225.0,2021-04-06
Xeon W-3345,Ice Lake-W,24.0,3.0,Socket 4189,10.0,36MB,250.0,2021-07-29
Xeon Gold 5320,Ice Lake-SP,26.0,2.2,Socket 4189,10.0,39MB,185.0,2021-04-06
Xeon Platinum 8270,Cascade Lake-SP,26.0,2.7,Socket 3647,14.0,35.75MB,205.0,2018-12-11
EPYC 7453,Milan,28.0,2.75,Socket SP3,7.0,64MB,225.0,2021-03-15
Xeon Gold 6330,Ice Lake-SP,28.0,2.0,Socket 4189,10.0,42MB,205.0,2021-04-06
Xeon Gold 6348,Ice Lake-SP,28.0,2.6,Socket 4189,10.0,42MB,235.0,2021-04-06
Xeon Platinum 8180,Skylake-SP,28.0,2.5,Socket 3647,14.0,38.5MB,205.0,2017-07-11
Xeon Platinum 8180M,Skylake-SP,28.0,2.5,Socket 3647,14.0,38.5MB,205.0,2017-07-11
Xeon Platinum 8276,Cascade Lake-SP,28.0,2.2,Socket 3647,14.0,38.5MB,165.0,2018-12-11
Xeon Platinum 8280,Cascade Lake-SP,28.0,2.7,Socket 3647,14.0,38.5MB,205.0,2018-12-11
Xeon Platinum 8280M,Cascade Lake-SP,28.0,2.7,Socket 3647,14.0,38.5MB,205.0,2018-12-11
Xeon Platinum 8376H,Cooper Lake-SP,28.0,2.6,Socket 4189,14.0,38.5MB,205.0,2021-04-06
Xeon Platinum 8376HL,Cooper Lake-SP,28.0,2.6,Socket 4189,14.0,38.5MB,205.0,2021-04-06
Xeon Platinum 8380H,Cooper Lake-SP,28.0,2.9,Socket 4189,14.0,38.5MB,250.0,2021-04-06
Xeon Platinum 8380HL,Cooper Lake-SP,28.0,2.9,Socket 4189,14.0,38.5MB,250.0,2021-04-06
Xeon W-3175X,Skylake-W,28.0,3.1,Socket 3647,14.0,38.5MB,255.0,2018-12-19
EPYC 7452,Rome,32.0,2.2,Socket SP3,7.0,128MB,155.0,2019-08-07
EPYC 7501,Naples,32.0,2.0,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7502,Rome,32.0,2.5,Socket SP3,7.0,128MB,180.0,2019-08-07
EPYC 7502P,Rome,32.0,2.5,Socket SP3,7.0,128MB,180.0,2019-08-07
EPYC 7513,Milan,32.0,2.6,Socket SP3,7.0,128MB,200.0,2021-03-15
EPYC 7542,Rome,32.0,2.9,Socket SP3,7.0,128MB,225.0,2019-08-07
EPYC 7543,Milan,32.0,2.8,Socket SP3,7.0,256MB,225.0,2021-03-15
EPYC 7543P,Milan,32.0,2.8,Socket SP3,7.0,256MB,225.0,2021-03-15
EPYC 7551,Naples,32.0,2.0,Socket SP3,14.0,64MB,180.0,2017-06-29
EPYC 7551P,Naples,32.0,2.0,Socket SP3,14.0,64MB,180.0,2017-06-29
EPYC 7573X,Milan-X,32.0,2.8,Socket SP3,7.0,768MB,280.0,
EPYC 75F3,Milan,32.0,2.95,Socket SP3,7.0,256MB,280.0,2021-03-15
EPYC 7601,Naples,32.0,2.2,Socket SP3,14.0,64MB,180.0,2017-06-29
EPYC 9334,Genoa,32.0,2.7,Socket SP5,5.0,128MB,210.0,2022-11-10
EPYC 9354,Genoa,32.0,3.25,Socket SP5,5.0,256MB,280.0,2022-11-10
EPYC 9354P,Genoa,32.0,3.25,Socket SP5,5.0,256MB,280.0,2022-11-10
EPYC 9374F,Genoa,32.0,3.85,Socket SP5,5.0,256MB,320.0,2022-11-10
Ryzen Threadripper 2990WX,Colfax,32.0,3.0,Socket SP3r2,12.0,64MB,250.0,2018-08-13
Ryzen Threadripper 3970X,Castle Peak,32.0,3.7,Socket TRX4,7.0,128MB,280.0,2019-11-25
Ryzen Threadripper PRO 3975WX,Castle Peak,32.0,3.5,Socket WRX8,7.0,128MB,280.0,2020-07-14
Ryzen Threadripper PRO 5975WX,Chagall PRO,32.0,3.6,Socket WRX8,7.0,128MB,280.0,2022-03-08
Aubrey Isle,Knights Ferry,32.0,1200.0,PCIe x16,45.0,,300.0,
Xeon Gold 6314U,Ice Lake-SP,32.0,2.3,Socket 4189,10.0,48MB,205.0,2021-04-06
Xeon Gold 6338N,Ice Lake-SP,32.0,2.2,Socket 4189,10.0,48MB,185.0,2021-04-06
Xeon Platinum 8352M,Ice Lake-SP,32.0,2.3,Socket 4189,10.0,48MB,185.0,2021-04-06
Xeon Platinum 8352S,Ice Lake-SP,32.0,2.2,Socket 4189,10.0,48MB,205.0,2021-04-06
Xeon Platinum 8358,Ice Lake-SP,32.0,2.6,Socket 4189,10.0,48MB,250.0,2021-04-06
Xeon Platinum 8358P,Ice Lake-SP,32.0,2.6,Socket 4189,10.0,48MB,240.0,2021-04-06
Xeon Platinum 8362,Ice Lake-SP,32.0,2.8,Socket 4189,10.0,48MB,265.0,2021-04-06
Xeon Platinum 9221,Cascade Lake-AP,32.0,2.1,BGA 5903,14.0,71.5MB,250.0,
Xeon Platinum 9222,Cascade Lake-AP,32.0,2.3,BGA 5903,14.0,71.5MB,250.0,
Xeon W-3365,Ice Lake-W,32.0,2.7,Socket 4189,10.0,48MB,270.0,2021-07-29
No CPUs found. Please change your search criteria.,,,,,,,,
Xeon Platinum 8351N,Ice Lake-SP,36.0,2.4,Socket 4189,10.0,54MB,225.0,2021-04-06
Xeon Platinum 8352V,Ice Lake-SP,36.0,2.5,Socket 4189,10.0,54MB,195.0,2021-04-06
Xeon Platinum 8360Y,Ice Lake-SP,36.0,2.4,Socket 4189,10.0,54MB,250.0,2021-04-06
Xeon Platinum 8368,Ice Lake-SP,38.0,2.4,Socket 4189,10.0,57MB,270.0,2021-04-06
Xeon Platinum 8368Q,Ice Lake-SP,38.0,2.6,Socket 4189,10.0,57MB,270.0,2021-04-06
Xeon W-3375,Ice Lake-W,38.0,2.5,Socket 4189,10.0,57MB,270.0,2021-07-29
Xeon Platinum 8380,Ice Lake-SP,40.0,2.3,Socket 4189,10.0,60MB,270.0,2021-04-06
EPYC 7552,Rome,48.0,2.2,Socket SP3,7.0,192MB,200.0,2019-08-07
EPYC 7642,Rome,48.0,2.4,Socket SP3,7.0,256MB,225.0,2019-08-07
EPYC 7643,Milan,48.0,2.3,Socket SP3,7.0,256MB,225.0,2021-03-15
EPYC 9454,Genoa,48.0,2.75,Socket SP5,5.0,256MB,290.0,2022-11-10
EPYC 9454P,Genoa,48.0,2.75,Socket SP5,5.0,256MB,290.0,2022-11-10
EPYC 9474F,Genoa,48.0,3.6,Socket SP5,5.0,256MB,360.0,2022-11-10
Ryzen Threadripper 3980X,Castle Peak,48.0,3.5,Socket TRX4,7.0,128MB,280.0,
Xeon Platinum 9242,Cascade Lake-AP,48.0,2.3,BGA 5903,14.0,71.5MB,350.0,
EPYC 7663,Milan,56.0,2.0,Socket SP3,7.0,256MB,240.0,2021-03-15
Xeon Platinum 8480,Sapphire Rapids,56.0,2.0,Socket 4677,10.0,105MB,350.0,
Xeon Platinum 9282,Cascade Lake-AP,56.0,2.6,BGA 5903,14.0,77MB,400.0,
Xeon Phi 3120A,Knights Corner,57.0,1100.0,PCIe x16,22.0,,300.0,2013-06-17
Xeon Phi 3120P,Knights Corner,57.0,1100.0,PCIe x16,22.0,,300.0,2013-06-17
Xeon Phi 31S1P,Knights Corner,57.0,1100.0,PCIe x16,22.0,,270.0,2013-06-17
Xeon Phi 5110P,Knights Corner,60.0,1053.0,PCIe x16,22.0,,225.0,2012-11-12
Xeon Phi 5120D,Knights Corner,60.0,1053.0,SFF 230-Pin,22.0,,245.0,2013-06-17
Xeon Platinum 8490H,Sapphire Rapids,60.0,1.9,Socket 4677,10.0,112.5MB,350.0,
Xeon Phi 3110X,Knights Corner,61.0,1053.0,PCIe x16,22.0,,300.0,2012-11-12
Xeon Phi 7110P,Knights Corner,61.0,1250.0,PCIe x16,22.0,,300.0,2012-11-12
Xeon Phi 7110X,Knights Corner,61.0,1250.0,PCIe x16,22.0,,300.0,2012-11-12
Xeon Phi 7120A,Knights Corner,61.0,1238.0,PCIe x16,22.0,,300.0,2014-04-06
Xeon Phi 7120D,Knights Corner,61.0,1238.0,SFF 230-Pin,22.0,,270.0,
Xeon Phi 7120P,Knights Corner,61.0,1238.0,PCIe x16,22.0,,300.0,2013-06-17
Xeon Phi 7120X,Knights Corner,61.0,1238.0,PCIe x16,22.0,,300.0,2013-06-17
Xeon Phi SE10P,Knights Corner,61.0,1100.0,PCIe x16,22.0,,300.0,2012-11-12
Xeon Phi SE10X,Knights Corner,61.0,1100.0,PCIe x16,22.0,,300.0,2012-11-12
EPYC 7702,Rome,64.0,2.0,Socket SP3,7.0,256MB,200.0,2019-08-07
EPYC 7702P,Rome,64.0,2.0,Socket SP3,7.0,256MB,200.0,2019-08-07
EPYC 7713,Milan,64.0,2.0,Socket SP3,7.0,256MB,225.0,2021-03-15
EPYC 7713P,Milan,64.0,2.0,Socket SP3,7.0,256MB,225.0,2021-03-15
EPYC 7742,Rome,64.0,2.25,Socket SP3,7.0,256MB,225.0,2019-08-07
EPYC 7763,Milan,64.0,2.45,Socket SP3,7.0,256MB,280.0,2021-03-15
EPYC 7773X,Milan-X,64.0,2.2,Socket SP3,7.0,768MB,280.0,
EPYC 7H12,Rome,64.0,2.6,Socket SP3,7.0,256MB,280.0,2019-09-18
EPYC 9534,Genoa,64.0,2.45,Socket SP5,5.0,256MB,280.0,2022-11-10
EPYC 9554,Genoa,64.0,3.1,Socket SP5,5.0,256MB,360.0,2022-11-10
EPYC 9554P,Genoa,64.0,3.1,Socket SP5,5.0,256MB,360.0,2022-11-10
Ryzen Threadripper 3990X,Castle Peak,64.0,2.9,Socket TRX4,7.0,256MB,280.0,2020-02-07
Ryzen Threadripper 5990X,Chagall,64.0,2.5,Socket TRX4,7.0,256MB,280.0,
Ryzen Threadripper PRO 3995WX,Castle Peak,64.0,2.7,Socket WRX8,7.0,256MB,280.0,2020-07-14
Ryzen Threadripper PRO 5995WX,Chagall PRO,64.0,2.7,Socket WRX8,7.0,256MB,280.0,2022-03-08
Xeon Phi 7210,Knights Landing,64.0,1300.0,Socket 3647,14.0,,215.0,2016-06-20
Xeon Phi 7210F,Knights Landing,64.0,1300.0,Socket 3647,14.0,,230.0,2016-06-20
Xeon Phi 7230,Knights Landing,64.0,1300.0,Socket 3647,14.0,,215.0,2016-06-20
Xeon Phi 7230F,Knights Landing,64.0,1300.0,Socket 3647,14.0,,230.0,2016-06-20
Xeon Phi 7235,Knights Mill,64.0,1300.0,Socket 3647,14.0,,250.0,
Xeon Phi 7250,Knights Landing,68.0,1400.0,Socket 3647,14.0,,215.0,2016-06-20
Xeon Phi 7250F,Knights Landing,68.0,1400.0,Socket 3647,14.0,,230.0,2016-06-20
Xeon Phi 7285,Knights Mill,68.0,1300.0,Socket 3647,14.0,,250.0,
Xeon Phi 7290,Knights Landing,72.0,1500.0,Socket 3647,14.0,,245.0,2016-06-20
Xeon Phi 7290F,Knights Landing,72.0,1500.0,Socket 3647,14.0,,260.0,2016-06-20
Xeon Phi 7295,Knights Mill,72.0,1500.0,Socket 3647,14.0,,320.0,
No CPUs found. Please change your search criteria.,,,,,,,,
EPYC 9634,Genoa,84.0,2.25,Socket SP5,5.0,384MB,290.0,2022-11-10
No CPUs found. Please change your search criteria.,,,,,,,,
No CPUs found. Please change your search criteria.,,,,,,,,
A4 PRO-7300B,,,,,,,,
A4 PRO-7350B,,,,,,,,
A4-4020,,,,,,,,
A4-6320B,,,,,,,,
A4-7300,,,,,,,,
A6 PRO-7400B,,,,,,,,
A6-6420K,,,,,,,,
A6-7400K,,,,,,,,
Athlon X2 450,,,,,,,,
E1-2150,,,,,,,,
Sempron 2650,,,,,,,,
Atom x5-E3930,,,,,,,,
Celeron G1840,,,,,,,,
Celeron G1840T,,,,,,,,
Celeron G1850,,,,,,,,
Celeron N2807,,,,,,,,
Celeron N2808,,,,,,,,
Celeron N2830,,,,,,,,
Celeron N2840,,,,,,,,
Core M-5Y10,,,,,,,,
Core M-5Y10a,,,,,,,,
Core M-5Y10c,,,,,,,,
Core M-5Y31,,,,,,,,
Core M-5Y51,,,,,,,,
Core M-5Y70,,,,,,,,
Core M-5Y71,,,,,,,,
Core i3-4150T,,,,,,,,
Core i3-4160,,,,,,,,
Core i3-4160T,,,,,,,,
Core i3-4350,,,,,,,,
Core i3-4360,,,,,,,,
Core i3-4360T,,,,,,,,
Core i3-4370,,,,,,,,
Core i3-4370,,,,,,,,
Core i5-4210U,,,,,,,,
Core i7-4610M,,,,,,,,
Pentium G3250,,,,,,,,
Pentium G3250T,,,,,,,,
Pentium G3258,,,,,,,,
Pentium G3440,,,,,,,,
Pentium G3450,,,,,,,,
Pentium G3450T,,,,,,,,
Pentium G3460,,,,,,,,
A10 PRO-7800B,,,,,,,,
A10 PRO-7850B,,,,,,,,
A10-7700K,,,,,,,,
A10-7800,,,,,,,,
A10-7850K,,,,,,,,
A4-5050,,,,,,,,
A8 PRO-7600B,,,,,,,,
A8-7600,,,,,,,,
Athlon 5150,,,,,,,,
Athlon 5350,,,,,,,,
Athlon 5370,,,,,,,,
Athlon X4 840,,,,,,,,
Athlon X4 860K,,,,,,,,
FX-770K,,,,,,,,
Sempron 3850,,,,,,,,
Atom Z3735G,,,,,,,,
Atom x5-E3940,,,,,,,,
Atom x7-E3950,,,,,,,,
Celeron N2930,,,,,,,,
Celeron N2940,,,,,,,,
Core i5-4590,,,,,,,,
Core i5-4590S,,,,,,,,
Core i5-4690,,,,,,,,
Core i5-4690K,,,,,,,,
Core i7-4710HQ,,,,,,,,
Core i7-4712HQ,,,,,,,,
Core i7-4760HQ,,,,,,,,
Core i7-4770HQ,,,,,,,,
Core i7-4790,,,,,,,,
Core i7-4790K,,,,,,,,
Core i7-4790S,,,,,,,,
Core i7-4810MQ,,,,,,,,
Core i7-4860HQ,,,,,,,,
Core i7-4870HQ,,,,,,,,
Core i7-4910MQ,,,,,,,,
Core i7-4940MX,,,,,,,,
Xeon E5-1603 V3,,,,,,,,
Xeon E5-1607 V3,,,,,,,,
Xeon E5-1620 V3,,,,,,,,
Xeon E5-1630 V3,,,,,,,,
Xeon E5-2623 V3,,,,,,,,
Xeon E5-2637 V3,,,,,,,,
Core i7-5820K,,,,,,,,
Core i7-5930K,,,,,,,,
Xeon E5-1650 V3,,,,,,,,
Xeon E5-2603 V3,,,,,,,,
Xeon E5-2608L V3,,,,,,,,
Xeon E5-2609 V3,,,,,,,,
Xeon E5-2620 V3,,,,,,,,
Xeon E5-2643 V3,,,,,,,,
FX-8320E,,,,,,,,
FX-8370,,,,,,,,
FX-8370E,,,,,,,,
Core i7-5960X,,,,,,,,
Xeon E5-1660 V3,,,,,,,,
Xeon E5-1680 V3,,,,,,,,
Xeon E5-2618L V3,,,,,,,,
Xeon E5-2622 V3,,,,,,,,
Xeon E5-2628 V3,,,,,,,,
Xeon E5-2629 V3,,,,,,,,
Xeon E5-2630 V3,,,,,,,,
Xeon E5-2630L V3,,,,,,,,
Xeon E5-2640 V3,,,,,,,,
Xeon E5-2667 V3,,,,,,,,
No CPUs found. Please change your search criteria.,,,,,,,,
PRO A4-8350B,,,,,,,,
PRO A6-8550B,,,,,,,,
Celeron 3205U,,,,,,,,
Celeron 3755U,,,,,,,,
Celeron G3900,,,,,,,,
Celeron G3920,,,,,,,,
Core i3-5005U,,,,,,,,
Core i3-5010U,,,,,,,,
Core i3-5015U,,,,,,,,
Core i3-5020U,,,,,,,,
Core i3-5157U,,,,,,,,
Core i3-6100,,,,,,,,
Core i3-6300,,,,,,,,
Core i3-6320,,,,,,,,
Core i5-5200U,,,,,,,,
Core i5-5250U,,,,,,,,
Core i5-5257U,,,,,,,,
Core i5-5287U,,,,,,,,
Core i5-5300U,,,,,,,,
Core i5-5350H,,,,,,,,
Core i5-5350U,,,,,,,,
Core i7-5500U,,,,,,,,
Core i7-5550U,,,,,,,,
Core i7-5557U,,,,,,,,
Core i7-5600U,,,,,,,,
Core i7-5650U,,,,,,,,
Pentium 3805U,,,,,,,,
Pentium 3825U,,,,,,,,
Pentium G4400,,,,,,,,
Pentium G4500,,,,,,,,
Pentium G4520,,,,,,,,
A10-7870K,,,,,,,,
A8-7650K,,,,,,,,
A8-7670K,,,,,,,,
Athlon X4 830,,,,,,,,
Athlon X4 850,,,,,,,,
Athlon X4 870K,,,,,,,,
Athlon X4 880K,,,,,,,,
PRO A10-8750B,,,,,,,,
PRO A10-8850B,,,,,,,,
PRO A8-8650B,,,,,,,,
Atom x3-3205RK,,,,,,,,
Core i5-5575R,,,,,,,,
Core i5-5675C,,,,,,,,
Core i5-5675R,,,,,,,,
Core i5-6400,,,,,,,,
Core i5-6500,,,,,,,,
Core i5-6600,,,,,,,,
Core i5-6600K,,,,,,,,
Core i7-5700HQ,,,,,,,,
Core i7-5750HQ,,,,,,,,
Core i7-5775C,,,,,,,,
Core i7-5775R,,,,,,,,
Core i7-5850HQ,,,,,,,,
Core i7-5950HQ,,,,,,,,
Core i7-6700,,,,,,,,
Core i7-6700K,,,,,,,,
Core i7-6700T,,,,,,,,
Core i7-6700TE,,,,,,,,
Xeon D-1518,,,,,,,,
Xeon D-1520,,,,,,,,
Xeon D-1521,,,,,,,,
Xeon D-1527,,,,,,,,
Xeon E3-1258L v4,,,,,,,,
Xeon E3-1265L v4,,,,,,,,
Xeon E3-1270L v4,,,,,,,,
Xeon E3-1278L v4,,,,,,,,
Xeon E3-1280 v5,,,,,,,,
Xeon E3-1283L v4,,,,,,,,
Xeon E3-1284L v4,,,,,,,,
Xeon E3-1285 v4,,,,,,,,
Xeon E3-1285L v4,,,,,,,,
Xeon E7-8893 v3,,,,,,,,
Nano QuadCore C4650,,,,,,,,
Nano QuadCore C4650 ES,,,,,,,,
Nano QuadCore C4700,,,,,,,,
A6-9120C SoC,,,,,,,,
A6-9220C SoC,,,,,,,,
A6-9400,,,,,,,,
Athlon 3000G,,,,,,,,
Athlon 300U,,,,,,,,
Athlon PRO 300U,,,,,,,,
Ryzen 3 3200U,,,,,,,,
Core i3-1000G1,,,,,,,,
Core i3-1000G4,,,,,,,,
Core i3-1005G1,,,,,,,,
Core i3-10110U,,,,,,,,
Core i3-10110Y,,,,,,,,
Pentium Gold G5620,,,,,,,,
Ryzen 3 3200G,,,,,,,,
Ryzen 3 3200GE,,,,,,,,
Ryzen 3 3300U,,,,,,,,
Ryzen 3 PRO 2300U,,,,,,,,
Ryzen 3 PRO 3200GE,,,,,,,,
Ryzen 3 PRO 3300U,,,,,,,,
Ryzen 5 3400G,,,,,,,,
Ryzen 5 3400GE,,,,,,,,
Ryzen 5 3500U,,,,,,,,
Ryzen 5 3550H,,,,,,,,
Ryzen 5 3580U,,,,,,,,
Ryzen 5 PRO 2500U,,,,,,,,
Ryzen 5 PRO 3400GE,,,,,,,,
Ryzen 5 PRO 3500U,,,,,,,,
Ryzen 7 3700U,,,,,,,,
Ryzen 7 3750H,,,,,,,,
Ryzen 7 3780U,,,,,,,,
Ryzen 7 PRO 3700U,,,,,,,,
Core i3-9100F,,,,,,,,
Core i3-9300,,,,,,,,
Core i3-9320,,,,,,,,
Core i3-9350K,,,,,,,,
Core i3-9350KF,,,,,,,,
Core i5-10210U,,,,,,,,
Core i5-10210Y,,,,,,,,
Core i5-1030G4,,,,,,,,
Core i5-1030G7,,,,,,,,
Core i5-10310Y,,,,,,,,
Core i5-1035G1,,,,,,,,
Core i5-1035G4,,,,,,,,
Core i5-1035G7,,,,,,,,
Core i7-10510U,,,,,,,,
Core i7-10510Y,,,,,,,,
Core i7-1060G7,,,,,,,,
Core i7-1065G7,,,,,,,,
Core i7-1068NG7,,,,,,,,
Athlon Gold 3150G,,,,,,,,
Athlon Gold 3150GE,,,,,,,,
Athlon Gold PRO 3150G,,,,,,,,
Athlon Gold PRO 3150GE,,,,,,,,
Ryzen 3 3100,,,,,,,,
Ryzen 3 3300X,,,,,,,,
Ryzen 3 4300G,,,,,,,,
Ryzen 3 4300GE,,,,,,,,
Ryzen 3 4300U,,,,,,,,
Ryzen 3 PRO 4350G,,,,,,,,
Ryzen 3 PRO 4350GE,,,,,,,,
Ryzen 3 PRO 4450U,,,,,,,,
Core i3-10100,,,,,,,,
Core i3-10300,,,,,,,,
Core i3-10320,,,,,,,,
Core i3-10350K,,,,,,,,
Core i3-1120G4,,,,,,,,
Core i3-1125G4,,,,,,,,
Core i5-10200H,,,,,,,,
Core i5-10300H,,,,,,,,
Core i5-1038NG7,,,,,,,,
Core i5-10400H,,,,,,,,
Core i5-1130G7,,,,,,,,
Core i5-1135G7,,,,,,,,
Core i5-1145G7,,,,,,,,
Core i7-10610U,,,,,,,,
Core i7-1160G7,,,,,,,,
Core i7-1165G7,,,,,,,,
Core i7-1185G7,,,,,,,,
Ryzen 5 4500U,,,,,,,,
Ryzen 5 4600G,,,,,,,,
Ryzen 5 4600GE,,,,,,,,
Ryzen 5 4600H,,,,,,,,
Ryzen 5 4600HS,,,,,,,,
Ryzen 5 4600U,,,,,,,,
Ryzen 5 5600X,,,,,,,,
Ryzen 5 PRO 4650G,,,,,,,,
Ryzen 5 PRO 4650GE,,,,,,,,
Ryzen 5 PRO 4650U,,,,,,,,
Ryzen Embedded V2516,,,,,,,,
Ryzen Embedded V2546,,,,,,,,
Core i5-10400,,,,,,,,
Core i5-10400F,,,,,,,,
Core i5-10500,,,,,,,,
Core i5-10600,,,,,,,,
Core i5-10600K,,,,,,,,
Core i5-10600KF,,,,,,,,
Core i7-10750H,,,,,,,,
Core i7-10810U,,,,,,,,
Core i7-10850H,,,,,,,,
EPYC 7F32,,,,,,,,
Ryzen 7 3800XT,,,,,,,,
Ryzen 7 4700G,,,,,,,,
Ryzen 7 4700GE,,,,,,,,
Ryzen 7 4700U,,,,,,,,
Ryzen 7 4750U,,,,,,,,
Ryzen 7 4800H,,,,,,,,
