Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Xeon E5-2470 v2,Ivy Bridge-EN,10.0,2.4,Socket 1356,22.0,25MB,95.0,
Xeon E5-2628L V3,Haswell-EP,10.0,2.0,Socket 2011-3,22.0,25MB,75.0,2014-09-08
Xeon E5-2649 V3,Haswell-EP,10.0,2.3,Socket 2011-3,22.0,25MB,105.0,2014-09-08
Xeon E5-2650 V3,Haswell-EP,10.0,2.3,Socket 2011-3,22.0,25MB,105.0,2014-09-08
Xeon E5-2650L v2,Ivy Bridge-EP,10.0,1700.0,Socket 2011,22.0,25MB,70.0,
Xeon E5-2652 V3,Haswell-EP,10.0,2.3,Socket 2011-3,22.0,25MB,105.0,2014-09-08
Xeon E5-2660 V3,Haswell-EP,10.0,2.6,Socket 2011-3,22.0,25MB,105.0,2014-09-08
Xeon E5-2660 v2,Ivy Bridge-EP,10.0,2.2,Socket 2011,22.0,25MB,95.0,
Xeon E5-2663 V3,Haswell-EP,10.0,2.8,Socket 2011-3,22.0,25MB,105.0,2014-09-08
Xeon E5-2666 V3,Haswell-EP,10.0,2.9,Socket 2011-3,22.0,25MB,135.0,2014-11-13
Xeon E5-2670 v2,Ivy Bridge-EP,10.0,2.5,Socket 2011,22.0,25MB,115.0,
Xeon E5-2680 v2,Ivy Bridge-EP,10.0,2.8,Socket 2011,22.0,25MB,115.0,
Xeon E5-2687W V3,Haswell-EP,10.0,3.1,Socket 2011-3,22.0,25MB,160.0,2014-09-08
Xeon E5-2690 v2,Ivy Bridge-EP,10.0,3.0,Socket 2011,22.0,25MB,130.0,
Xeon E5-4610 V3,Haswell-EP,10.0,1700.0,Socket 2011-3,22.0,25MB,105.0,
Xeon E5-4620 V3,Haswell-EP,10.0,2.0,Socket 2011-3,22.0,25MB,105.0,
Xeon E5-4627 V3,Haswell-EP,10.0,2.6,Socket 2011-3,22.0,25MB,135.0,
Xeon E7-4820 v3,Haswell-EX,10.0,1900.0,Socket 2011-1,22.0,25MB,115.0,
Xeon E7-8850,Westmere-EX,10.0,2.0,Socket 1567,32.0,30MB,130.0,
Xeon E7-8860,Westmere-EX,10.0,2.276,Socket 1567,32.0,30MB,130.0,
Xeon E7-8870,Westmere-EX,10.0,2.4,Socket 1567,32.0,30MB,130.0,
Xeon E7-8891 v3,Haswell-EX,10.0,2.8,Socket 2011-3,22.0,45MB,165.0,
Xeon Silver 4310T,Ice Lake-SP,10.0,2.3,Socket 4189,10.0,15MB,105.0,2021-04-06
Xeon W-1290,Comet Lake,10.0,3.2,Socket 1200,14.0,20MB,80.0,2020-05-13
Xeon W-1290P,Comet Lake,10.0,3.7,Socket 1200,10.0,20MB,125.0,2020-05-13
Xeon W-2150B,Skylake-W,10.0,3.0,Socket 2066,14.0,13.75MB,120.0,
Xeon W-2155,Skylake-W,10.0,3.3,Socket 2066,14.0,13.75MB,140.0,2017-08-29
EPYC 7272,Rome,12.0,2.6,Socket SP3,7.0,64MB,120.0,2019-08-07
Opteron 6168,Magny-Cours,12.0,1900.0,Socket G34,45.0,12MB,115.0,2010-03-29
Opteron 6180 SE,Magny-Cours,12.0,2.5,Socket G34,45.0,12MB,140.0,2011-02-14
Opteron 6348,Abu Dhabi,12.0,2.8,Socket G34,32.0,8MB,115.0,2012-11-05
Ryzen 9 3900X,Matisse,12.0,3.8,Socket AM4,7.0,64MB,105.0,2019-07-07
Ryzen 9 3900XT,Matisse 2,12.0,3.9,Socket AM4,7.0,64MB,105.0,2020-07-07
Ryzen 9 5900,Vermeer,12.0,3.0,Socket AM4,7.0,64MB,65.0,2021-01-12
Ryzen 9 5900X,Vermeer,12.0,3.7,Socket AM4,7.0,64MB,105.0,2020-11-05
Ryzen 9 7845HX,Dragon Range,12.0,3.0,Socket FP8,5.0,64MB,55.0,2023-01-04
Ryzen 9 7900,Raphael,12.0,7.3,Socket AM5,5.0,64MB,65.0,2023-01-14
Ryzen 9 7900X,Raphael,12.0,4.7,Socket AM5,5.0,64MB,170.0,2022-09-27
Ryzen 9 7900X3D,Raphael,12.0,4.4,Socket AM5,5.0,128MB,120.0,2023-01-04
Ryzen Threadripper 1920,Zen,12.0,3.2,Socket SP3r2,14.0,32MB,140.0,
Ryzen Threadripper 1920X,Zen,12.0,3.5,Socket SP3r2,14.0,32MB,180.0,2017-08-10
Ryzen Threadripper 2920X,Colfax,12.0,3.5,Socket SP3r2,12.0,32MB,180.0,
Ryzen Threadripper PRO 3945WX,Castle Peak,12.0,4.0,Socket WRX8,7.0,64MB,280.0,2020-07-14
Ryzen Threadripper PRO 5945WX,Chagall PRO,12.0,4.1,Socket WRX8,7.0,64MB,280.0,2022-03-08
Core i5-1240P,Alder Lake-P,12.0,1.7,BGA 1744,10.0,12MB,28.0,
Core i5-12500H,Alder Lake-H,12.0,2.5,BGA 1744,10.0,18MB,45.0,
Core i5-1250P,Alder Lake-P,12.0,1.7,BGA 1744,10.0,12MB,28.0,
Core i5-12600H,Alder Lake-H,12.0,2.7,BGA 1744,10.0,18MB,45.0,
Core i5-12600HE,Alder Lake-H,12.0,2.5,BGA 1744,10.0,18MB,45.0,
Core i5-12600HX,Alder Lake-HX,12.0,2.5,BGA 1964,10.0,18MB,55.0,2022-05-10
